latitude,longitude,druh_objektu_text,price,floor_size,Podlažie,Počet nadzemných podlaží,Stav nehnuteľnosti,Vlastníctvo,Typ konštrukcie,Rok výstavby,Počet izieb / miestností,Cena vrátane energií,streetAddress,addressRegion,days_since_publication,update_publication_delta,Vybavenie_Verejné parkovanie,Vybavenie_Altánok / posedenie,Vybavenie_Vyhradené parkovanie,Vybavenie_Vonkajší krb,Vybavenie_Pivnica,Vybavenie_Technická miestnosť,Vybavenie_Šatníkové skrine,Vybavenie_Predzáhradka,Vybavenie_Balkón,Vybavenie_Garážové státie,Vybavenie_Vonkajšie parkovacie miesto,Vybavenie_Lodžia,Vybavenie_Sklad,Vybavenie_Výťah,Vybavenie_Špajza,Vybavenie_Tepelná izolácia,room_count,condition_score,is_new,is_renovated
48.60536518,19.10370111,1 izbový byt,93500.0,34.0,2.0,4.0,Čiastočná rekonštrukcia,Osobné,Panelová,1988.0,1.0,Nie,Kováčová,Banskobystrický kraj,82,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1
48.3386957,19.6445366,3 izbový byt,63000.0,71.6,2.0,8.0,Pôvodný stav,Osobné,Panelová,,3.0,Nie,Lučenec,Banskobystrický kraj,65,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0
48.7889676,19.1037503,3 izbový byt,118000.0,64.23,1.0,1.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,76,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.4162357,18.6419192,4 izbový byt,152800.0,99.4,1.0,1.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Nová Baňa,Banskobystrický kraj,121,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1
48.8453245,19.6118557,3 izbový byt,189000.0,61.6,1.0,1.0,Novostavba,Osobné,,,,Nie,Mýto pod Ďumbierom,Banskobystrický kraj,161,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,5,1,0
48.5907033,18.8519778,3 izbový byt,110000.0,75.42,2.0,1.0,Čiastočná rekonštrukcia,Osobné,,,,Nie,Žiar nad Hronom,Banskobystrický kraj,166,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
48.5607557,19.1444648,1 izbový byt,94000.0,41.0,3.0,1.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Zvolen,Banskobystrický kraj,207,142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,1
48.5765035,19.1219642,2 izbový byt,135000.0,57.0,1.0,1.0,Čiastočná rekonštrukcia,Osobné,,,,Nie,Zvolen,Banskobystrický kraj,207,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1
48.7332755,19.1232504,4 izbový byt,289000.0,97.6,7.0,1.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,241,176,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,3,0,1
48.5803338,19.1071173,3 izbový byt,149999.0,69.34,3.0,1.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Zvolen,Banskobystrický kraj,397,332,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,1
48.75823857,19.16412388,3 izbový byt,158000.0,73.0,7.0,12.0,Čiastočná rekonštrukcia,Osobné,,,3.0,Nie,Banská Bystrica,Banskobystrický kraj,81,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1
48.736277,19.1461917,2 izbový byt,145000.0,60.0,2.0,,Pôvodný stav,Osobné,Tehlová,,2.0,Nie,Banská Bystrica,Banskobystrický kraj,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
48.3298602,19.6637354,1 izbový byt,53000.0,37.0,2.0,4.0,Kompletná rekonštrukcia,Firemné,Panelová,1983.0,1.0,Nie,Lučenec,Banskobystrický kraj,79,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
48.4136566,20.3226376,1 izbový byt,34500.0,35.0,,,Čiastočná rekonštrukcia,Osobné,,,1.0,Nie,Tornaľa,Banskobystrický kraj,87,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
48.7594029,19.1664848,2 izbový byt,159800.0,64.7,10.0,,Kompletná rekonštrukcia,Osobné,Panelová,,2.0,Nie,Banská Bystrica,Banskobystrický kraj,68,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,3,0,1
48.71389222,19.13017955,4 izbový byt,275000.0,99.47,3.0,5.0,Kompletná rekonštrukcia,Osobné,Tehlová,,4.0,Nie,Banská Bystrica,Banskobystrický kraj,80,14,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,3,0,1
48.6750604,18.9094806,3 izbový byt,88500.0,73.0,7.0,8.0,Pôvodný stav,Osobné,Panelová,,3.0,Nie,Horná Ves,Banskobystrický kraj,66,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0
48.449576,18.9086908,Apartmán,128900.0,66.66,,,Kompletná rekonštrukcia,Osobné,,,,Nie,Banská Štiavnica,Banskobystrický kraj,81,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.736277,19.1461917,2 izbový byt,169000.0,61.0,2.0,5.0,Kompletná rekonštrukcia,Osobné,Tehlová,1953.0,2.0,Nie,Banská Bystrica,Banskobystrický kraj,103,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1
48.3298602,19.6637354,3 izbový byt,102500.0,69.0,7.0,8.0,Kompletná rekonštrukcia,Osobné,Panelová,1900.0,3.0,Nie,Lučenec,Banskobystrický kraj,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1
48.87865736,19.2338998,3 izbový byt,235000.0,72.0,3.0,3.0,Kompletná rekonštrukcia,Osobné,,,3.0,Nie,Donovaly,Banskobystrický kraj,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.736277,19.1461917,1 izbový byt,104500.0,38.0,8.0,7.0,Pôvodný stav,Osobné,,1900.0,1.0,Nie,Banská Bystrica,Banskobystrický kraj,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
48.7391308,19.1688211,2 izbový byt,136900.0,58.0,2.0,4.0,Čiastočná rekonštrukcia,Osobné,Panelová,,,Nie,Banská Bystrica,Banskobystrický kraj,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1
48.726181,19.1323541,2 izbový byt,125000.0,58.8,,,Pôvodný stav,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
48.7256639,19.12049535,2 izbový byt,154000.0,64.0,3.0,,Kompletná rekonštrukcia,Osobné,Panelová,,2.0,Nie,Banská Bystrica,Banskobystrický kraj,139,73,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1
48.578102,19.1244318,3 izbový byt,178000.0,80.0,1.0,4.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Zvolen,Banskobystrický kraj,203,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.7885505,19.6382961,3 izbový byt,124990.0,70.0,4.0,7.0,Kompletná rekonštrukcia,Osobné,,1900.0,,Nie,Brezno,Banskobystrický kraj,123,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.381226,20.0193175,3 izbový byt,93000.0,78.0,1.0,4.0,Čiastočná rekonštrukcia,Osobné,Panelová,,3.0,Nie,Rimavská Sobota,Banskobystrický kraj,68,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1
48.5788545,19.1512084,3 izbový byt,149000.0,65.61,1.0,10.0,Kompletná rekonštrukcia,Osobné,Panelová,,3.0,Nie,Zvolen,Banskobystrický kraj,145,79,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,3,3,0,1
48.7275486,19.1207641,3 izbový byt,235000.0,67.43,,7.0,Novostavba,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5,1,0
